Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,11600,2023-03-13,0.093212841,0.0998422897,0.0974502891,21,100
Market-Adjusted Model,11618,2023-03-13,0.0216627017,0.0260172616,0.0259001497,21,100
Market-Adjusted Model,11628,2023-03-13,-0.193404316,-0.202264887,-0.189166868,21,100
Market-Adjusted Model,11636,2023-03-13,-0.241228056,-0.238893671,-0.236990608,21,100
Market-Adjusted Model,11644,2023-03-13,-0.154537169,-0.149707386,-0.150299721,21,100
Market-Adjusted Model,11654,2023-03-13,-0.003329709,0.0035659202,0.0009077391,21,100
Market-Adjusted Model,11664,2023-03-13,-0.076314323,-0.06461199,-0.072076875,21,100
Market-Adjusted Model,11674,2023-03-13,-0.056367347,-0.051975019,-0.052129899,21,100
Market-Adjusted Model,11691,2023-03-13,-0.109437303,-0.106934909,-0.105199855,21,100
Market-Adjusted Model,11701,2023-03-13,-0.025865854,-0.021582136,-0.021628406,21,100
Market-Adjusted Model,11731,2023-03-13,-0.139049463,-0.142834843,-0.134812015,21,100
Market-Adjusted Model,11748,2023-03-13,-0.022801324,-0.011381205,-0.018563876,21,100
Market-Adjusted Model,11752,2023-03-13,-0.179198825,-0.188692359,-0.174961377,21,100
Market-Adjusted Model,11762,2023-03-13,-0.049501926,-0.042819945,-0.045264478,21,100
Market-Adjusted Model,11775,2023-03-13,-0.055977108,-0.052199801,-0.05173966,21,100
Market-Adjusted Model,11786,2023-03-13,-0.860844065,-1.253958529,-0.829467717,10,100
Market-Adjusted Model,11790,2023-03-13,-0.05880095,-0.056294654,-0.054563502,21,100
Market-Adjusted Model,11803,2023-03-13,0.028540087,0.0356946916,0.0327775351,21,100
Market-Adjusted Model,11809,2023-03-13,0.000832269,0.0076798163,0.0050697171,21,100
Market-Adjusted Model,11844,2023-03-13,-0.090472132,-0.088496278,-0.086234684,21,100
Market-Adjusted Model,11845,2023-03-13,-0.080025706,-0.076776971,-0.075788257,21,100
Market-Adjusted Model,11850,2023-03-13,-0.044695235,-0.038914902,-0.040457787,21,100
Market-Adjusted Model,11884,2023-03-13,0.1784136534,0.1744672788,0.1826511015,21,100
Market-Adjusted Model,11891,2023-03-13,-0.020422511,-0.013663407,-0.016185063,21,100
Market-Adjusted Model,11955,2023-03-13,0.0197195205,0.0236436368,0.0239569686,21,100
Market-Adjusted Model,11990,2023-03-13,-0.083772504,-0.077473787,-0.079535056,21,100
Market-Adjusted Model,11995,2023-03-13,-0.046269908,-0.041476684,-0.04203246,21,100
Market-Adjusted Model,11996,2023-03-13,0.0242343296,0.0272184666,0.0284717777,21,100
Market-Adjusted Model,12008,2023-03-13,0.1163474157,0.127754377,0.1205848637,21,100
Market-Adjusted Model,12009,2023-03-13,-0.177949727,-0.180012878,-0.173712279,21,100
